Marca;Modelo;Tipo;Origen;Tracci—n;Precio;TamMotor;Cilindros;Caballos;Peso;Longitud
"Acura";"MDX";"SUV";"Asia";"All";36945.00;3.50;6.00;265.00;4451.00;189.00
"Acura";"RSX Type S 2dr";"Sedan";"Asia";"Front";23820.00;2.00;4.00;200.00;2778.00;172.00
"Acura";"TSX 4dr";"Sedan";"Asia";"Front";26990.00;2.40;4.00;200.00;3230.00;183.00
"Acura";"TL 4dr";"Sedan";"Asia";"Front";33195.00;3.20;6.00;270.00;3575.00;186.00
"Acura";"3.5 RL 4dr";"Sedan";"Asia";"Front";43755.00;3.50;6.00;225.00;3880.00;197.00
"Acura";"3.5 RL w/Navigation 4dr";"Sedan";"Asia";"Front";46100.00;3.50;6.00;225.00;3893.00;197.00
"Acura";"NSX coupe 2dr manual S";"Sports";"Asia";"Rear";89765.00;3.20;6.00;290.00;3153.00;174.00
"Audi";"A4 1.8T 4dr";"Sedan";"Europe";"Front";25940.00;1.80;4.00;170.00;3252.00;179.00
"Audi";"A41.8T convertible 2dr";"Sedan";"Europe";"Front";35940.00;1.80;4.00;170.00;3638.00;180.00
"Audi";"A4 3.0 4dr";"Sedan";"Europe";"Front";31840.00;3.00;6.00;220.00;3462.00;179.00
"Audi";"A4 3.0 Quattro 4dr manual";"Sedan";"Europe";"All";33430.00;3.00;6.00;220.00;3583.00;179.00
"Audi";"A4 3.0 Quattro 4dr auto";"Sedan";"Europe";"All";34480.00;3.00;6.00;220.00;3627.00;179.00
"Audi";"A6 3.0 4dr";"Sedan";"Europe";"Front";36640.00;3.00;6.00;220.00;3561.00;192.00
"Audi";"A6 3.0 Quattro 4dr";"Sedan";"Europe";"All";39640.00;3.00;6.00;220.00;3880.00;192.00
"Audi";"A4 3.0 convertible 2dr";"Sedan";"Europe";"Front";42490.00;3.00;6.00;220.00;3814.00;180.00
"Audi";"A4 3.0 Quattro convertible 2dr";"Sedan";"Europe";"All";44240.00;3.00;6.00;220.00;4013.00;180.00
"Audi";"A6 2.7 Turbo Quattro 4dr";"Sedan";"Europe";"All";42840.00;2.70;6.00;250.00;3836.00;192.00
"Audi";"A6 4.2 Quattro 4dr";"Sedan";"Europe";"All";49690.00;4.20;8.00;300.00;4024.00;193.00
"Audi";"A8 L Quattro 4dr";"Sedan";"Europe";"All";69190.00;4.20;8.00;330.00;4399.00;204.00
"Audi";"S4 Quattro 4dr";"Sedan";"Europe";"All";48040.00;4.20;8.00;340.00;3825.00;179.00
"Audi";"RS 6 4dr";"Sports";"Europe";"Front";84600.00;4.20;8.00;450.00;4024.00;191.00
"Audi";"TT 1.8 convertible 2dr (coupe)";"Sports";"Europe";"Front";35940.00;1.80;4.00;180.00;3131.00;159.00
"Audi";"TT 1.8 Quattro 2dr (convertible)";"Sports";"Europe";"All";37390.00;1.80;4.00;225.00;2921.00;159.00
"Audi";"TT 3.2 coupe 2dr (convertible)";"Sports";"Europe";"All";40590.00;3.20;6.00;250.00;3351.00;159.00
"Audi";"A6 3.0 Avant Quattro";"Wagon";"Europe";"All";40840.00;3.00;6.00;220.00;4035.00;192.00
"Audi";"S4 Avant Quattro";"Wagon";"Europe";"All";49090.00;4.20;8.00;340.00;3936.00;179.00
"BMW";"X3 3.0i";"SUV";"Europe";"All";37000.00;3.00;6.00;225.00;4023.00;180.00
"BMW";"X5 4.4i";"SUV";"Europe";"All";52195.00;4.40;8.00;325.00;4824.00;184.00
"BMW";"325i 4dr";"Sedan";"Europe";"Rear";28495.00;2.50;6.00;184.00;3219.00;176.00
"BMW";"325Ci 2dr";"Sedan";"Europe";"Rear";30795.00;2.50;6.00;184.00;3197.00;177.00
"BMW";"325Ci convertible 2dr";"Sedan";"Europe";"Rear";37995.00;2.50;6.00;184.00;3560.00;177.00
"BMW";"325xi 4dr";"Sedan";"Europe";"All";30245.00;2.50;6.00;184.00;3461.00;176.00
"BMW";"330i 4dr";"Sedan";"Europe";"Rear";35495.00;3.00;6.00;225.00;3285.00;176.00
"BMW";"330Ci 2dr";"Sedan";"Europe";"Rear";36995.00;3.00;6.00;225.00;3285.00;176.00
"BMW";"330xi 4dr";"Sedan";"Europe";"All";37245.00;3.00;6.00;225.00;3483.00;176.00
"BMW";"525i 4dr";"Sedan";"Europe";"Rear";39995.00;2.50;6.00;184.00;3428.00;191.00
"BMW";"330Ci convertible 2dr";"Sedan";"Europe";"Rear";44295.00;3.00;6.00;225.00;3616.00;177.00
"BMW";"530i 4dr";"Sedan";"Europe";"Rear";44995.00;3.00;6.00;225.00;3472.00;191.00
"BMW";"545iA 4dr";"Sedan";"Europe";"Rear";54995.00;4.40;8.00;325.00;3814.00;191.00
"BMW";"745i 4dr";"Sedan";"Europe";"Rear";69195.00;4.40;8.00;325.00;4376.00;198.00
"BMW";"745Li 4dr";"Sedan";"Europe";"Rear";73195.00;4.40;8.00;325.00;4464.00;204.00
"BMW";"M3 coupe 2dr";"Sports";"Europe";"Rear";48195.00;3.20;6.00;333.00;3415.00;177.00
"BMW";"M3 convertible 2dr";"Sports";"Europe";"Rear";56595.00;3.20;6.00;333.00;3781.00;177.00
"BMW";"Z4 convertible 2.5i 2dr";"Sports";"Europe";"Rear";33895.00;2.50;6.00;184.00;2932.00;161.00
"BMW";"Z4 convertible 3.0i 2dr";"Sports";"Europe";"Rear";41045.00;3.00;6.00;225.00;2998.00;161.00
"BMW";"325xi Sport";"Wagon";"Europe";"All";32845.00;2.50;6.00;184.00;3594.00;176.00
"Buick";"Rainier";"SUV";"USA";"All";37895.00;4.20;6.00;275.00;4600.00;193.00
"Buick";"Rendezvous CX";"SUV";"USA";"Front";26545.00;3.40;6.00;185.00;4024.00;187.00
"Buick";"Century Custom 4dr";"Sedan";"USA";"Front";22180.00;3.10;6.00;175.00;3353.00;195.00
"Buick";"LeSabre Custom 4dr";"Sedan";"USA";"Front";26470.00;3.80;6.00;205.00;3567.00;200.00
"Buick";"Regal LS 4dr";"Sedan";"USA";"Front";24895.00;3.80;6.00;200.00;3461.00;196.00
"Buick";"Regal GS 4dr";"Sedan";"USA";"Front";28345.00;3.80;6.00;240.00;3536.00;196.00
"Buick";"LeSabre Limited 4dr";"Sedan";"USA";"Front";32245.00;3.80;6.00;205.00;3591.00;200.00
"Buick";"Park Avenue 4dr";"Sedan";"USA";"Front";35545.00;3.80;6.00;205.00;3778.00;207.00
"Buick";"Park Avenue Ultra 4dr";"Sedan";"USA";"Front";40720.00;3.80;6.00;240.00;3909.00;207.00
"Cadillac";"Escalade";"SUV";"USA";"Front";52795.00;5.30;8.00;295.00;5367.00;199.00
"Cadillac";"SRX V8";"SUV";"USA";"Front";46995.00;4.60;8.00;320.00;4302.00;195.00
"Cadillac";"CTS VVT 4dr";"Sedan";"USA";"Rear";30835.00;3.60;6.00;255.00;3694.00;190.00
"Cadillac";"Deville 4dr";"Sedan";"USA";"Front";45445.00;4.60;8.00;275.00;3984.00;207.00
"Cadillac";"Deville DTS 4dr";"Sedan";"USA";"Front";50595.00;4.60;8.00;300.00;4044.00;207.00
"Cadillac";"Seville SLS 4dr";"Sedan";"USA";"Front";47955.00;4.60;8.00;275.00;3992.00;201.00
"Cadillac";"XLR convertible 2dr";"Sports";"USA";"Rear";76200.00;4.60;8.00;320.00;3647.00;178.00
"Cadillac";"Escalade EXT";"Truck";"USA";"All";52975.00;6.00;8.00;345.00;5879.00;221.00
"Chevrolet";"Suburban 1500 LT";"SUV";"USA";"Front";42735.00;5.30;8.00;295.00;4947.00;219.00
"Chevrolet";"Tahoe LT";"SUV";"USA";"All";41465.00;5.30;8.00;295.00;5050.00;197.00
"Chevrolet";"TrailBlazer LT";"SUV";"USA";"Front";30295.00;4.20;6.00;275.00;4425.00;192.00
"Chevrolet";"Tracker";"SUV";"USA";"Front";20255.00;2.50;6.00;165.00;2866.00;163.00
